Job Role,Skills
Data Scientist,"Python SQL Pandas NumPy Machine Learning Statistics"
Machine Learning Engineer,"Python TensorFlow Deep Learning Scikit-learn Pandas"
AI Engineer,"Python NLP TensorFlow Deep Learning Computer Vision"
Data Analyst,"Excel SQL Power BI Python Statistics"
DevOps Engineer,"AWS Docker Kubernetes Linux Git Jenkins CI/CD"
Cloud Engineer,"AWS Azure GCP Terraform Docker Linux"
Backend Developer,"Java Spring SQL REST API MySQL"
Frontend Developer,"HTML CSS JavaScript React Bootstrap"
Full Stack Developer,"HTML CSS JavaScript React Node.js MongoDB"
Cyber Security Analyst,"Networking Linux Wireshark Ethical Hacking Python"
Software Tester,"Manual Testing Automation Testing Selenium Java"
Android Developer,"Java Kotlin Android Studio Firebase XML"
